# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.0,3.0,0.06991605611253586,0,3.0,0.20012980311061046,0.0,0.0,0.0
 0.08953921665110076,1.0120258980241663,3.000014674794296,0.06991605611253586,0.2686176499533023,3.0,0.20012980311061046,0.0,3.712434500830797,0.0
 0.12676330629198282,1.0241033151124497,3.000058542227512,0.2081080507573647,0.38028991887594843,2.999999999999999,0.19599657113870003,0.0,4.743209965888726,0.0
 0.15541802349759895,1.0362318357885263,3.0001313668751406,0.34402339097676626,0.46625407049279677,2.9999999999999982,0.1919629178913272,0.0,5.516421419726283,0.0
 0.17965109732158535,1.0484110445760733,3.000232913312675,0.4777032384852131,0.5389532919647559,2.9999999999999987,0.18802582423674497,0.0,6.139553758413278,0.0
 0.20106706651998135,1.0606405259987661,3.0003629461156067,0.6091877326672883,0.603201199559944,3.0000000000000027,0.18418237357993386,0.0,6.659288620280722,0.0
 0.22048780246849756,1.0729198645802822,3.000521229859429,0.738516018566719,0.6614634074054926,2.9999999999999987,0.18042974770410183,0.0,7.101516063475309,0.0
 0.23840091487062212,1.0852486448442975,3.000707529119634,0.8657262740372453,0.7152027446118663,3.0,0.17676522340234424,0.0,7.482573974411505,0.0
 0.2551236980297504,1.0976264513144889,3.000921608471715,0.9908557360834654,0.765371094089251,2.999999999999995,0.1731861687221865,0.0,7.813651646774401,0.0
 0.2708762546965381,1.1100528685145326,3.001163232491164,1.1139407264238184,0.8126287640896142,3.0000000000000036,0.16969003985166115,0.0,8.102861366744811,0.0
 0.2858186243594608,1.1225274809681047,3.0014321657534744,1.2350166762931345,0.8574558730783823,3.0,0.16627437761142994,0.0,8.356336859610524,0.0
 0.3000714574105777,1.1350498731988825,3.0017281728341376,1.3541181504720579,0.9002143722317332,3.000000000000008,0.16293680451356082,0.0,8.578867813368156,0.0
 0.3137283551183273,1.1476196297305419,3.002051018308647,1.4712788706475322,0.941185065354982,3.000000000000008,0.1596750216767511,0.0,8.7742909360814,0.0
 0.32686364641579424,1.1602363350867593,3.0024004667524946,1.5865317380216852,0.9805909392473827,2.9999999999999916,0.15648680593391404,0.0,8.945743568196802,0.0
 0.339537508167892,1.1728995737912116,3.0027762827411735,1.6999088552747292,1.0186125245036761,3.0000000000000044,0.1533700069614557,0.0,9.095835074011488,0.0
 0.3517994601134209,1.185608930367575,3.003178230850176,1.8114415478567143,1.0553983803402627,2.9999999999999956,0.15032254487245125,0.0,9.22676668913582,0.0
 0.3636908236301759,1.1983639893395261,3.0036060756549947,1.9211603846415144,1.0910724708905277,3.0,0.14734240739672275,0.0,9.340417766608615,0.0
 0.375246496622144,1.2111643352307415,3.004059581731122,2.0290951979608125,1.125739489866432,2.999999999999995,0.14442764757090568,0.0,9.438409384355221,0.0
 0.38649626347921745,1.2240095525648973,3.004538513654051,2.135275103036423,1.1594887904376523,3.0,0.14157638109439266,0.0,9.522152262868328,0.0
 0.3974657807598545,1.2368992258656701,3.0050426359992746,2.2397285168328143,1.1923973422795635,3.000000000000005,0.13878678457539612,0.0,9.592883536015659,0.0
 0.40817733157790803,1.2498329396567365,3.0055717133422837,2.342483176320515,1.224531994733724,3.0,0.1360570926631077,0.0,9.651695442045234,0.0
 0.4186504117263656,1.2628102784617732,3.0061255102585727,2.4435661562535573,1.2559512351790967,2.9999999999999947,0.1333855964424873,0.0,9.699558017501724,0.0
 0.4289021912282979,1.275830826804456,3.0067037913236327,2.543003886315185,1.2867065736848937,3.0,0.130770641312925,0.0,9.737337310722303,0.0
 0.43894788220336495,1.288894169208462,3.007306321112958,2.6408221678586914,1.3168436466100948,3.0,0.12821062474444997,0.0,9.765810138089767,0.0
 0.4488010352780722,1.3019998901974674,3.0079328642020395,2.737046190047818,1.3464031058342165,3.0,0.12570399477423436,0.0,9.785676196267499,0.0
 0.45847378079364143,1.3151475742951488,3.00858318516637,2.831700545592077,1.3754213423809243,3.0000000000000058,0.12324924801385148,0.0,9.79756807625865,0.0
 0.4679770268702109,1.3283368060251826,3.009257048581443,2.924809245972704,1.4039310806106327,2.9999999999999885,0.12084492792269896,0.0,9.802059625272275,0.0
 0.4773206233925346,1.3415671699112452,3.009954219022751,3.0163957361990077,1.4319618701776038,3.0000000000000058,0.11848962301187219,0.0,9.799672989485538,0.0
 0.486513498814682,1.3548382504770133,3.0106744610657863,3.106482909169131,1.459540496444046,3.000000000000006,0.11618196572938433,0.0,9.790884575940952,0.0
 0.49556377509037597,1.368149632246163,3.011417539286041,3.1950931195648273,1.486691325271128,3.0000000000000124,0.11392063023070712,0.0,9.776130146127565,0.0
 0.5044788648535641,1.3815008997423712,3.012183218259008,3.2822481973541637,1.5134365945606922,2.9999999999999876,0.11170433143107823,0.0,9.755809185462642,0.0
 0.5132655540854683,1.394891637489314,3.01297126256018,3.3679694608725805,1.5397966622564048,3.0,0.10953182313225422,0.0,9.730288680607726,0.0
 0.5219300728296735,1.4083214300106683,3.0137814367650497,3.452277729532234,1.5657902184890207,3.000000000000013,0.10740189715800087,0.0,9.699906396280321,0.0
 0.5304781559993414,1.4217898618301104,3.0146135054491094,3.5351933361456322,1.5914344679980246,3.000000000000013,0.10531338148955184,0.0,9.664973734856156,0.0
 0.5389150959201321,1.4352965174713164,3.0154672331878514,3.6167361388826333,1.6167452877603965,3.0,0.10326513953429943,0.0,9.625778244183875,0.0
